Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,
2015-08-28,146.57876586914062,147.63215573657507,145.54778311131236,147.63215573657507,10099873
2015-08-31,145.74952697753906,147.25117662413052,144.15822755994216,145.5702274355282,10005743
2015-09-01,141.4014434814453,145.1891719353022,140.88595210795927,144.5616237053032,9835616
2015-09-02,143.48582458496094,144.80817441589923,141.26696657465482,142.94791541540764,13515913
2015-09-03,143.44100952148438,145.5478001579325,143.0375749530127,143.149642478662,10476984
2015-09-04,142.1410675048828,144.11337271177317,141.0876669323314,143.44099956902582,16321889
2015-09-07,140.50494384765625,143.21687549971648,139.47396103836897,141.78245814907152,7386243
2015-09-08,140.25840759277344,141.46868995802586,139.09295010568474,140.34805734910088,10634960
2015-09-09,140.9307861328125,141.8272836624533,140.23598456509347,141.31179225549405,6359030
2015-09-10,140.46014404296875,141.55835903528842,139.1153762048493,139.4067432800974,9313670
2015-09-11,140.63943481445312,141.71524262499668,139.92222605581316,141.06527651600504,6970833
2015-09-14,140.5946044921875,141.28939545577984,139.6756784749963,140.6394293719408,7762278
2015-09-15,142.11863708496094,142.49965382600732,140.07908941798385,140.30321377894333,5374153
2015-09-16,144.40478515625,144.71855938822836,142.18593710500795,142.8359033415234,5804856
2015-09-18,142.54449462890625,147.0270249683835,141.08767013760976,145.68226799750667,13322309
2015-09-21,140.86354064941406,142.2307153367874,140.48252387958615,141.82728080175482,7060328
2015-09-22,139.9221954345703,142.6565445714355,138.95845536607249,141.60314410475073,15513834
2015-09-23,141.6928253173828,143.01517530782453,137.61372912422271,137.61372912422271,12103872
2015-09-24,144.5840606689453,144.94267038639416,140.97563096429144,141.11010561277237,14665105
2015-09-28,143.10482788085938,145.6822852624826,142.72381105207597,144.8530196085617,6603226
2015-09-29,143.62033081054688,145.6822968802821,142.0962740287066,142.9703646348478,8618175
2015-09-30,147.3856201171875,147.85628664286438,143.4409990625046,144.33750723783345,13981834
2015-10-01,147.3632049560547,149.64929481809557,146.60117145043074,146.60117145043074,6445786
2015-10-05,147.69940185546875,148.59591001229242,146.48911957294774,147.92352623096684,9680157
2015-10-06,153.68357849121094,154.04217748549402,147.38561439771226,148.82003168450674,11133386
2015-10-07,155.6559295654297,156.88861921521377,153.43707114808475,154.1766870689219,11119883
2015-10-08,152.00265502929688,155.4317851201024,150.34411309495448,155.4317851201024,9729114
2015-10-09,153.95254516601562,154.5576863647924,152.4957206045657,152.809494760086,5747871
2015-10-12,152.74224853515625,156.17137812373664,151.8905652518473,153.77323131919735,6302130
2015-10-13,154.22149658203125,155.0507621891145,152.24918055315837,152.40607296051158,7275026
2015-10-14,154.24391174316406,154.93870269856134,153.52670302073838,154.28873662238865,9432417
2015-10-15,156.61962890625,157.96438574252426,154.0421720880731,154.1990644699902,9861249
2015-10-16,156.3731231689453,156.8886146525422,153.9749652835453,156.0145241037764,10008030
2015-10-19,157.3368682861328,157.78511710091976,154.7369931958703,155.99210053210646,11618584
2015-10-20,156.28346252441406,157.44892005992358,155.9024457167765,157.11272813231204,7671159
2015-10-21,156.2386474609375,156.888613589569,155.8352235153558,156.4851896439873,5676290
2015-10-23,160.63150024414062,160.90044949372015,156.933410770513,156.933410770513,9060774
2015-10-26,159.80226135253906,161.28149312648802,159.12987746174426,160.8556514162957,8200648
2015-10-27,159.57815551757812,160.00398662250987,158.3454551258959,158.9954213237402,15515511
2015-10-28,159.21951293945312,160.90046186077223,158.6816143989504,158.83849614584767,10086513
2015-10-29,156.88861083984375,159.5781357277494,155.58867860536415,159.17470113440547,7932853
2015-10-30,150.0078887939453,157.5385418868907,148.32694010876835,157.5385418868907,28847862
2015-11-02,151.1509552001953,152.27158777698298,147.90111433461206,149.26828906164587,10723717
2015-11-03,150.09756469726562,151.91299896990344,149.17864933209844,150.97166583737493,4061707
2015-11-04,150.4785919189453,151.59922464859827,149.71656890806784,150.994083400779,5171885
2015-11-05,151.12855529785156,152.04748136472074,149.3803742381322,149.71656618187296,5595613
2015-11-06,151.3751220703125,152.15956296326277,150.16483940008416,150.45620650898516,4635192
2015-11-09,153.7732391357422,154.1990807990429,148.08042642396532,148.59591784218915,12462025
2015-11-10,150.9492645263672,154.66977258219748,150.23206636993422,152.7646883420885,7507146
2015-11-13,147.83387756347656,149.62689389025562,146.62359527209165,148.10282681604403,19348452
2015-11-16,151.64404296875,151.95782779095273,147.74424635265277,147.9235458768642,9111652
2015-11-17,156.48516845703125,157.00065986734174,152.0026381603599,153.39221999516843,12018593
2015-11-18,155.92486572265625,157.40409743958384,154.24391671529943,157.3368654459958,10350049
2015-11-19,157.80751037597656,158.23335204009814,156.3506965282518,156.88859505882738,17590094
2015-11-20,154.4008026123047,157.8971860176563,153.79566137961555,157.8971860176563,10237807
2015-11-23,151.1733856201172,154.58010875262923,150.7251367822209,153.90773549578475,9335921
2015-11-24,150.5682373046875,152.22677923683776,148.95453090905883,152.0250619418219,13590345
2015-11-26,153.66114807128906,154.64730587917975,150.09753356718753,150.6802675397353,9778092
2015-11-27,154.35597229003906,154.64733933935437,151.89058256430494,154.3783900576014,5895769
2015-11-30,155.162841796875,155.45420886685895,152.6526270127823,153.84049175220417,17919712
2015-12-01,155.2076416015625,155.54383350069574,152.85430896246135,154.7369750737423,10516942
2015-12-02,156.61962890625,156.77651063333641,153.48185585172294,155.0955619242859,4813524
2015-12-03,153.90774536132812,155.9472936867422,153.43707872395044,155.14044572680956,5809665
2015-12-04,150.5906524658203,153.1905168684242,150.164810769733,152.9888102317332,14148517
2015-12-07,140.54978942871094,150.5682413193574,139.20502163252593,150.16481737340177,52829599
2015-12-08,141.0876922607422,142.63416674893526,139.22744358293752,139.40674311985845,19736148
2015-12-09,142.2755584716797,143.21689163445566,141.311807540822,143.21689163445566,15655011
2015-12-10,144.0013427734375,144.22546719625905,142.09626919720426,142.32039362002578,8649047
2015-12-11,143.88926696777344,144.53923308403026,141.3790522667241,143.88926696777344,9358275
2015-12-14,143.48582458496094,144.51680739300917,142.16347475402264,143.44099970873413,7573029
2015-12-15,144.7633514404297,145.18918244275986,142.54449340098978,143.44100159212883,10478148
2015-12-16,143.10482788085938,145.52539284626798,142.58933640453472,144.78577695737457,8099047
2015-12-17,143.66514587402344,144.22546223923595,141.78247947736276,143.30654680983403,9018268
2015-12-18,142.1410675048828,144.785756509352,141.8272827167692,143.84442345467423,14774200
2015-12-21,146.37709045410156,146.78051443582066,142.1186835832857,143.44103372783835,8352379
2015-12-22,143.55308532714844,145.9064184375335,143.21690401552226,145.70470112669088,6326849
2015-12-23,144.1134033203125,145.2340361177364,143.44103003475843,144.3375384036643,5475581
2015-12-24,145.0995635986328,145.5702302328727,143.70998146651215,144.7857893940842,3799114
2015-12-28,146.2201690673828,146.60118585763914,144.5392201608392,144.6512876832082,9432149
2015-12-29,145.61505126953125,147.02705113492112,144.94267799184584,146.33226008722934,4606143
2015-12-30,146.37709045410156,146.80293220666655,145.34610740154085,146.35467268325567,4984557
2015-12-31,146.93739318847656,147.9235512623757,144.9426699267524,145.90641023189258,8342404
2016-01-01,146.80291748046875,147.47530137071936,145.9736518293705,146.84774236282993,1536435
2016-01-04,145.7270965576172,146.17534534096066,144.1357973944999,145.90639607095457,6133919
2016-01-05,145.61505126953125,146.309842317223,145.25645218809902,145.72711880989564,6040492
2016-01-06,141.24456787109375,146.57878173374445,140.99802570975586,146.57878173374445,15821205
2016-01-07,138.77919006347656,140.66184579253004,138.35334835022445,140.66184579253004,12264018
2016-01-08,140.5946044921875,142.09625394617163,138.84641287214401,139.49637895598306,10219316
2016-01-11,141.67042541503906,142.00661737182006,138.8464257638788,138.9584933010836,7141566
2016-01-12,141.26699829101562,142.05144978335218,140.0791334768975,141.31182317730622,7222615
2016-01-13,141.53594970703125,143.62032277578462,141.04286533281007,142.25314784432277,7126884
2016-01-14,142.20831298828125,142.8806968496739,139.96704765674906,140.59460663770437,11933785
2016-01-15,140.7066650390625,142.2755571810683,139.98946694427823,141.24457426498333,8287068
2016-01-18,141.37905883789062,142.83588355249404,140.4153185029171,140.70667492197106,12285620
2016-01-19,140.77392578125,142.32040035414272,139.8325925060254,141.3118244214732,7099389
2016-01-20,138.48779296875,143.44098938195833,136.7171945030146,139.13775895466142,10015115
2016-01-21,137.3447723388672,139.69810531584818,136.11208273817056,139.69810531584818,13042954
2016-01-22,138.39816284179688,140.19116867078966,135.64140612444442,138.51021971276577,15828472
2016-01-25,138.68951416015625,139.7877396464305,136.2913672201364,136.87409063043614,9688748
2016-01-27,140.28082275390625,140.8411390905203,137.59130860009182,138.71194127331995,8839231
2016-01-28,142.79104614257812,144.27027784204066,139.6980974483997,140.16876401728913,14425495
2016-01-29,143.53067016601562,146.13053467187393,142.0290206135516,144.71853488479582,12977498
2016-02-01,145.57020568847656,145.6822732129082,141.13250006733165,142.8358667716325,7634682
2016-02-02,145.34609985351562,146.08571577567508,144.090992431846,145.18920743024435,7338991
2016-02-03,144.3151092529297,145.34609219764465,143.2617191945468,144.22545948859212,5111345
2016-02-04,144.24786376953125,145.50297100773423,143.889254090879,144.51681303739647,3309501
2016-02-05,145.2115936279297,146.10810177844107,144.33750324222592,144.78575199006602,6754583
2016-02-08,141.31179809570312,145.63744680173497,140.86354931235726,145.59262192340037,6509280
2016-02-09,140.03428649902344,140.63942769589755,138.8464112174687,140.415303299802,11915170
2016-02-10,138.51022338867188,140.2808221523935,137.61372577779957,139.89981599518904,8168586
2016-02-11,133.8259735107422,139.27224393201308,133.33288921624134,139.27224393201308,14580660
2016-02-12,134.52076721191406,136.78443949596584,133.96045091870508,134.11733266171126,13703734
2016-02-15,136.13450622558594,137.1654893057087,133.7587658489483,135.8207320091938,12478912
2016-02-16,132.4588165283203,137.1654717926,131.62955087774637,136.49308790277448,10988951
2016-02-17,134.40870666503906,135.28279714444372,129.5675770500811,132.9070572165539,13598699
2016-02-18,136.9189453125,137.479261733327,134.8569898339174,135.14834627507344,9751124
2016-02-19,136.51547241210938,137.210263246413,134.9241734947322,136.71718966087926,7194078
2016-02-22,134.40870666503906,135.6638139483677,131.5174752944578,135.6638139483677,15270590
